,tconst,primary_title,original_title,start_year,runtime_minutes,genres,country,budget,ww_gross,ww_currency,domestic_gross_x,domestic_currency,int_gross,int_currency,release_date_x,mpaa_rating,tmdb_id
102,tt0914823,House Under Siege,House Under Siege,2010,78.0,"Action,Thriller",US,,,,,,,,2010-03-14,R,68926.0
103,tt0914852,Monkeyman935,Monkeyman935,2010,,Horror,US,"{'amount': 10500000.0, 'currency': 'USD'}",,,,,,,2015,,
104,tt0914863,Unthinkable,Unthinkable,2010,97.0,"Crime,Drama,Thriller",US,"{'amount': 15000000.0, 'currency': 'USD'}",1669947.0,USD,,,1669947.0,USD,2010-06-15,R,38199.0
105,tt0918575,Victim,Victim,2010,90.0,"Horror,Thriller",US,"{'amount': 1000000.0, 'currency': 'USD'}",,,,,,,2010-11-17,,60306.0
106,tt0923653,The Dead Undead,The Dead Undead,2010,89.0,"Action,Horror,Sci-Fi",US,"{'amount': 1100000.0, 'currency': 'USD'}",$0,,$0,,,,2010-05-13,R,53502.0
107,tt0923954,Truth About Kerry,Truth About Kerry,2010,84.0,"Drama,Mystery,Thriller",US,,,,,,,,2012-03-13,TV-MA,102686.0
108,tt0924266,Pizza with Bullets,Pizza with Bullets,2010,99.0,Comedy,US,"{'amount': 3000000.0, 'currency': 'USD'}",,,,,,,2021,Not Rated,216070.0
109,tt0929618,The Penthouse,The Penthouse,2010,89.0,Comedy,US,"{'amount': 3000000.0, 'currency': 'USD'}",,,,,,,2010-03-02,R,26353.0
110,tt0934981,The Waiter,The Waiter,2010,92.0,"Action,Crime,Drama",US,"{'amount': 1235000.0, 'currency': 'USD'}",,,,,,,2010-03-14,Not Rated,318214.0
111,tt0935075,Rabbit Hole,Rabbit Hole,2010,91.0,Drama,US,"{'amount': 5000000, 'currency': 'USD'}",5144717.0,USD,2229058.0,USD,2915659.0,USD,2011-01-28,PG-13,
112,tt0938283,The Last Airbender,The Last Airbender,2010,103.0,"Action,Adventure,Family",US,"{'amount': 150000000, 'currency': 'USD'}",319713881.0,USD,131772187.0,USD,187941694.0,USD,2010-07-01,PG,
113,tt0942906,White Knuckles,White Knuckles,2010,88.0,"Drama,Thriller",US,,,,,,,,2010,Not Rated,182547.0
114,tt0944835,Salt,Salt,2010,100.0,"Action,Mystery,Thriller",US,"{'amount': 110000000, 'currency': 'USD'}",293503354.0,USD,118311368.0,USD,175191986.0,USD,2010-07-23,PG-13,
115,tt0947798,Black Swan,Black Swan,2010,108.0,"Drama,Thriller",US,"{'amount': 13000000, 'currency': 'USD'}",329398046.0,USD,106954678.0,USD,222443368.0,USD,2010-12-17,R,
116,tt0955308,Robin Hood,Robin Hood,2010,140.0,"Action,Adventure,Drama",US,"{'amount': 200000000, 'currency': 'USD'}",321669741.0,USD,105269730.0,USD,216400011.0,USD,2010-05-14,PG-13,
117,tt0959329,Nine Dead,Nine Dead,2010,98.0,"Crime,Drama,Horror",US,"{'amount': 2000000.0, 'currency': 'USD'}",$0,,$0,,,,2009-11-06,R,34335.0
118,tt0960067,Heart of Now,Heart of Now,2010,90.0,Drama,US,,,,,,,,2010-06-11,Not Rated,169590.0
119,tt0960730,Beautiful Darling,Beautiful Darling,2010,85.0,Documentary,US,,34096.0,USD,34096.0,USD,,,2010-04-02,Not Rated,226247.0
120,tt0960827,Private Security Officer: Los Angeles,Private Security Officer: Los Angeles,2010,84.0,"Action,Comedy,Crime",US,"{'amount': 235000.0, 'currency': 'USD'}",,,,,,,2010-12-22,Not Rated,
