,tconst,original_title,start_year,runtime_minutes,genres,budget,ww_gross,mpaa_rating,month
1798,tt2224026,Home,2015,94.0,"Adventure,Animation,Comedy","{'amount': 135000000, 'currency': 'USD'}",386041607.0,PG,3.0
1799,tt2226344,Stardate Revisited: The Origin of Star Trek - The Next Generation,2012,95.0,Documentary,,49945.0,,7.0
1800,tt2226417,Insidious: Chapter 2,2013,106.0,"Horror,Mystery,Thriller","{'amount': 5000000, 'currency': 'USD'}",161919318.0,PG-13,9.0
1801,tt2226519,Plush,2013,99.0,"Drama,Music,Thriller",,28864.0,R,10.0
1802,tt2226597,The Mountain Between Us,2017,112.0,"Action,Adventure,Drama","{'amount': 35000000, 'currency': 'USD'}",62832209.0,PG-13,10.0
1803,tt2229499,Don Jon,2013,90.0,"Comedy,Drama,Romance","{'amount': 3000000, 'currency': 'USD'}",39439355.0,R,9.0
1804,tt2230954,Gone,2012,50.0,Drama,"{'amount': 60000.0, 'currency': 'USD'}",18100000.0,,7.0
1805,tt2231138,Some Velvet Morning,2013,84.0,Drama,"{'amount': 2000000.0, 'currency': 'USD'}",6420.0,Not Rated,12.0
1806,tt2231253,Wild Card,2015,92.0,"Action,Crime,Drama","{'amount': 30000000.0, 'currency': 'USD'}",6738764.0,R,1.0
1807,tt2231461,Rampage,2018,107.0,"Action,Adventure,Sci-Fi","{'amount': 120000000, 'currency': 'USD'}",428028233.0,PG-13,4.0
1808,tt2234155,The Internship,2013,119.0,Comedy,"{'amount': 58000000, 'currency': 'USD'}",93492844.0,PG-13,6.0
1809,tt2234315,Occupy Unmasked,2012,76.0,Documentary,,52768.0,Not Rated,9.0
1810,tt2235108,Dear White People,2014,108.0,"Comedy,Drama,Romance",1000000.0,4633961.0,R,1.0
1811,tt2235248,Andre Gregory: Before and After Dinner,2013,108.0,"Biography,Documentary,Drama",,42892.0,TV-G,4.0
1812,tt2236160,Nightlight,2015,85.0,"Horror,Thriller","{'amount': 2000000.0, 'currency': 'USD'}",77567.0,R,3.0
1813,tt2236182,Rise of the Zombies,2012,89.0,"Action,Adventure,Horror",,129545.0,TV-14,10.0
1814,tt2237822,Koch,2012,100.0,"Biography,Documentary,History",,342941.0,Not Rated,10.0
1815,tt2239400,Head Games,2012,95.0,"Documentary,Sport",,14056.0,PG-13,9.0
1816,tt2239832,Think Like a Man Too,2014,106.0,"Comedy,Romance","{'amount': 24000000, 'currency': 'USD'}",70181428.0,PG-13,6.0
1817,tt2241069,Carl,2012,90.0,"Horror,Thriller",,2592.0,Not Rated,4.0
1818,tt2241351,Money Monster,2016,98.0,"Crime,Drama,Thriller","{'amount': 27000000, 'currency': 'USD'}",93282604.0,R,5.0
1819,tt2243537,A Haunted House,2013,86.0,"Comedy,Fantasy","{'amount': 2500000, 'currency': 'USD'}",60159584.0,R,1.0
1820,tt2244856,Hava Nagila: The Movie,2012,75.0,"Comedy,Documentary,History",,370218.0,Not Rated,7.0
1821,tt2245084,Big Hero 6,2014,102.0,"Action,Adventure,Animation","{'amount': 165000000, 'currency': 'USD'}",657869686.0,PG,11.0
